Id;ZipCode;Name;Lat;Long
155;1223;Budapest XXII. kerület;47,5;19,0833
156;1224;Budapest XXII. kerület;47,5;19,0833
157;1225;Budapest XXII. kerület;47,5;19,0833
158;1237;Budapest XXIII. kerület;47,5;19,0833
159;1238;Budapest XXIII. kerület;47,5;19,0833
160;1239;Budapest XXIII. kerület;47,5;19,0833
161;1529;Budapest XII. kerület;47,5;19,0833
162;2000;Szentendre;47,6667;19,0833
163;2001;Szentendre;47,6667;19,0833
164;2002;Szentendre;47,6667;19,0833
165;2003;Szentendre;47,6667;19,0833
166;2009;Pilisszentlászló;47,7167;19
167;2011;Budakalász;47,6167;19,05
168;2012;Budakalász;47,6167;19,05
169;2013;Budakalász;47,6167;19,05
170;2014;Csobánka;47,6333;18,9667
171;2015;Szigetmonostor;47,6833;19,1167
172;2016;Leányfalu;47,7167;19,0833
173;2017;Pócsmegyer;47,7167;19,1
174;2019;Pomáz;47,65;19,0333
175;2021;Tahitótfalu;47,75;19,1
176;2022;Tahitótfalu;47,75;19,1
177;2023;Dunabogdány;47,7833;19,0333
178;2024;Kisoroszi;47,8;19,0167
179;2025;Visegrád;47,7833;18,9833
180;2026;Visegrád;47,7833;18,9833
181;2027;Dömös;47,7667;18,9167
182;2028;Pilismarót;47,7833;18,8833
183;2030;Érd;47,3667;18,9333
184;2031;Érd;47,3667;18,9333
185;2032;Érd;47,3667;18,9333
186;2033;Érd;47,3667;18,9333
187;2035;Érd;47,3667;18,9333
188;2036;Érd;47,3667;18,9333
189;2038;Sóskút;47,4;18,8333
190;2039;Pusztazámor;47,4;18,7833
191;2040;Budaörs;47,4531;18,9602
192;2041;Budaörs;47,45;18,9667
193;2042;Budaörs;47,45;18,9667
194;2043;Budaörs;47,45;18,9667
195;2044;Budaörs;47,45;18,9667
196;2045;Törökbálint;47,4333;18,9167
197;2046;Törökbálint;47,4333;18,9167
198;2047;Törökbálint;47,4333;18,9167
199;2049;Diósd;47,4;18,95
200;2050;Diósd;47,4;18,95
201;2051;Biatorbágy;47,4667;18,8167
202;2052;Biatorbágy;47,4667;18,8167
203;2053;Herceghalom;47,5;18,75
204;2055;Herceghalom;47,5;18,75
205;2056;Herceghalom;47,5;18,75
206;2060;Bicske;47,4833;18,6333
207;2061;Bicske;47,4833;18,6333
208;2063;Bicske;47,4833;18,6333
209;2064;Csabdi;47,5167;18,6167
210;2065;Mány;47,5333;18,6667
211;2066;Újbarok;47,4833;18,5667
212;2066;Szár;47,4833;18,5167
213;2067;Szárliget;47,4952;18,6095
214;2071;Páty;47,5167;18,8333
215;2072;Zsámbék;47,55;18,7167
216;2073;Tök;47,5667;18,7333
217;2074;Perbál;47,6;18,7667
218;2080;Pilisjászfalu;47,6042;18,8521
219;2081;Piliscsaba;47,6167;18,8333
220;2082;Piliscsaba;47,6167;18,8333
221;2083;Solymár;47,5833;18,9333
222;2084;Pilisszentiván;47,6167;18,9
223;2085;Pilisvörösvár;47,6167;18,9167
224;2086;Tinnye;47,6167;18,7833
225;2087;Tinnye;47,6167;18,7833
226;2089;Telki;47,55;18,8333
227;2090;Remeteszőlős;47,6;18,8981
228;2091;Etyek;47,45;18,75
229;2092;Budakeszi;47,5167;18,9333
230;2093;Budajenő;47,55;18,8
231;2094;Nagykovácsi;47,5833;18,8833
232;2095;Pilisszántó;47,6667;18,9
233;2096;Üröm;47,6;19,0167
234;2097;Pilisborosjenő;47,6167;19
235;2098;Pilisszentkereszt;47,7;18,9
236;2099;Dobogókő;47,7167;18,9
237;2100;Gödöllő;47,6;19,3667
238;2101;Gödöllő;47,6;19,3667
239;2102;Gödöllő;47,6;19,3667
240;2103;Gödöllő;47,6;19,3667
241;2105;Gödöllő;47,6;19,3667
242;2111;Szada;47,6333;19,3167
243;2112;Veresegyház;47,65;19,2833
244;2113;Erdőkertes;47,6667;19,3167
245;2114;Valkó;47,5667;19,5167
246;2115;Vácszentlászló;47,5833;19,5333
